"id","description"
"0","Технологический процесс в норме"
"1","Необходимо заменить матрицу"
"2","Необходимо заменить пуансон"
"3","Износилась внутренняя поверхность матрицы"
"4","Износилась наружная поверхность матрицы"
"5","Излишнаяя вибрация на линии"
"6","Износилась наружная поверхность пуансона"
"7","Износилась внутренняя поверхность пуансона"
"8","Износилась оживальная часть матрицы"
"9","Износилась оживальная часть пуансона"
"10","Необходимо уменьшить силу процесса"
"11","Необходимо увеличить силу процесса"
"12","Износилась оживальная часть внутренней поверхности матрицы"
"13","Износилась оживальная часть наружной поверхности пуансона"
"14","Выщерблена во внутренней поверхности матрицы"
"15","Выщерблена на наружной поверхности пуансона"
"17","Срочно отцентрировать инструмент"
"18","Отцентрировать инструмент"
"19","Необходимо откорректировать силу процесса"
"20","Необходимо остановить процесс"
"21","Необходимо увеличить силу обжима"
"22","Необходимо откорректировать ход инструмента"
"23","Необходимо уменьшить силу обжима"
"24","Произошёл износ донной части матрицы"
"25","Произошло затупление рабочей части пуансона"
"26","Износилась боковая поверхность матрицы"
"27","Износилась боковая поверхность пуансона"
