"id","name","min_value","max_value","unit_id"
"1","Наружный диаметр в нижнем расчётном сечении","4.95","5.05","1"
"2","Наружный радиус оживальной части","3.565","3.58","1"
"3","Внутренний диаметр в нижнем расчётном сечении","4.155","4.165","1"
"4","Внутрениий радиус оживальной части","3.278","3.282","1"
"5","Радиус сопряжения вершины с оживальной частью","5.25","5.255","1"
"6","Толщина стенки оживальной части","0.855","0.87","1"
"7","Толщина вершины","1.2","1.21","1"
"8","Диаметр вершины оболочки","3.84","3.85","1"
"9","Высота от дна до нижнего расчетного сечения","0.65","0.7","1"
"10","Внутренний радиус сопряжения цилиндрической и оживальной части","0.565","0.575","1"
